SITE_NAME,AVG_DAILY_CONSUMPTION
0242KO,11.557%
0243BB,77.580%
0243BR,11.506%
0243KO,26.434%
0244BB,0.666%
0244BR,7.936%
0244KO,4.517%
0245BB,5.808%
0245BR,9.571%
0245KO,14.703%
0246BB,0.095%
0246BR,5.913%
0246KO,2.269%
0247BB,34.595%
0247BR,5.116%
0247KO,14.496%
0248BB,38.081%
0248BR,28.463%
0248KO,10.593%
0249BB,15.402%
0249KO,12.686%
0250BB,4.302%
0250BR,33.414%
0250KO,10.739%
0251BB,4.561%
0251BR,44.074%
0251KO,18.518%
0252BB,9.292%
0252BR,7.295%
0252KO,9.170%
0253BB,3.018%
0253BR,5.166%
0253KO,17.054%
0254BB,41.998%
0254BR,13.029%
0254KO,6.202%
0255BB,11.472%
0255BR,1.909%
0255KO,10.231%
0256BB,4.075%
0256BR,4.739%
0256KO,6.616%
0257BB,7.928%
0257KO,17.565%
0258BB,6.420%
0258BR,6.718%
0258KO,18.360%
0259BB,7.109%
0259BR,15.395%
0260BB,25.215%
0260BR,12.916%
0260KO,5.976%
0261BB,0.000%
0261BR,11.312%
0261KO,9.418%
0262BB,5.898%
0262BR,2.862%
0262KO,6.562%
0263BB,7.185%
0263BR,8.100%
0263KO,9.637%
0264BB,6.758%
0264BR,1.156%
0264KO,9.365%
0265BB,3.916%
0265BR,nan%
0265KO,3.960%
0266BB,36.454%
0266BR,10.129%
0266KO,4.290%
0267BB,4.175%
0267BR,0.380%
0267KO,8.575%
0268BB,14.466%
0268BR,66.680%
0268KO,4.197%
0269BB,21.212%
0269BR,48.153%
0269KO,5.899%
0270BB,7.918%
0270BR,10.878%
0270KO,4.479%
0271BB,6.855%
0271BR,1.862%
0271KO,18.455%
0272BB,19.803%
0272BR,89.341%
0272KO,2.881%
0273BB,9.172%
0273BR,8.338%
0273KO,22.058%
0274BB,9.541%
0274BR,5.522%
0274KO,5.637%
0275BB,1.447%
0275BR,6.819%
0275KO,11.036%
0276BB,5.169%
0276BR,2.126%
0276KO,14.105%
0277BB,4.741%
0277BR,9.698%
0277KO,26.880%
0278BB,20.857%
0278BR,5.139%
0278KO,6.180%
0279BB,4.009%
0279BR,10.974%
0279KO,3.530%
0280BB,36.866%
0280BR,4.531%
0280KO,3.972%
0281BB,4.040%
0281BR,12.571%
0281KO,18.946%
0282BB,16.988%
0282BR,0.747%
0282KO,18.123%
0283BB,14.774%
0283BR,1.385%
0283KO,6.795%
0284BB,2.977%
0284BR,15.359%
0284KO,18.758%
0285BB,8.848%
0285BR,1.783%
0285KO,6.955%
0286BB,0.306%
0286BR,6.318%
0286KO,29.826%
0287BB,7.002%
0287BR,4.341%
0287KO,15.490%
0288BB,3.959%
0288BR,7.221%
0288KO,2.512%
0289BB,6.947%
0289BR,5.366%
0289KO,8.106%
0290BB,6.722%
0290BR,7.114%
0290KO,1.829%
0291BB,12.972%
0291KO,6.176%
0292BB,2.292%
0292BR,7.795%
0292KO,6.853%
0293BB,47.683%
0293BR,12.380%
0293KO,9.210%
0294BB,5.995%
0294BR,6.311%
0294KO,30.068%
0295BB,75.620%
0295BR,5.504%
0295KO,12.095%
0296BB,7.054%
0296BR,1.768%
0296KO,3.933%
0297BB,13.154%
0297BR,6.607%
0297KO,14.740%
0298BB,35.514%
0298BR,9.987%
0298KO,7.385%
0299BB,9.917%
0299BR,5.849%
0299KO,5.764%
0300BB,9.855%
0300BR,2.306%
0300KO,14.791%
0301BB,10.865%
0301BR,5.711%
0301KO,9.174%
0302BB,20.658%
0302BR,13.747%
0303BB,15.577%
0303BR,10.721%
0303KO,2.692%
0304BB,18.032%
0304BR,5.624%
0304KO,9.391%
0305BB,1.092%
0305KO,22.121%
0306KO,1.364%
0307BR,1.854%
0307KO,2.519%
0308BB,2.239%
0308BR,5.497%
0308KO,33.893%
0309BB,1.596%
0309BR,6.507%
0309KO,6.308%
0310BB,11.641%
0310BR,25.042%
0310KO,13.260%
0311BB,11.798%
0311BR,1.928%
0311KO,10.600%
0312BB,2.376%
0312BR,0.590%
0312KO,3.415%
0313BB,1.128%
0313BR,7.710%
0313KO,30.643%
0314BB,3.688%
0314BR,8.605%
0314KO,14.839%
0315BB,17.207%
0315BR,14.705%
0315KO,25.557%
0316BB,10.061%
0316BR,12.728%
0316KO,17.060%
0317BB,20.875%
0317BR,9.135%
0317KO,20.061%
0318BB,28.719%
0318BR,15.397%
0318KO,26.371%
0319BB,10.282%
0319BR,6.197%
0319KO,13.715%
0320BB,1.536%
0320BR,10.178%
0320KO,4.118%
0321BB,2.872%
0321BR,2.403%
0321KO,3.663%
0322BB,11.802%
0322BR,1.471%
0322KO,2.497%
0323BB,7.817%
0323BR,21.284%
0323KO,1.145%
0324BB,6.876%
0324BR,7.378%
0324KO,4.439%
0325BB,30.958%
0325BR,11.508%
0325KO,2.905%
0326BB,0.886%
0326BR,3.795%
0326KO,5.394%
0327BB,0.651%
0327BR,1.065%
0327KO,20.710%
0328BB,3.222%
0328BR,1.623%
0328KO,9.836%
0329BB,85.348%
0329BR,4.923%
0329KO,2.608%
0330BB,22.172%
0330BR,7.170%
0330KO,2.552%
0331BB,1.428%
0331BR,19.222%
0331KO,6.047%
0332BB,7.510%
0332BR,37.184%
0332KO,15.888%
0333BB,13.535%
0333BR,11.324%
0333KO,18.480%
0334BR,13.253%
0334KO,22.460%
0335BB,5.429%
0335BR,9.144%
0335KO,7.563%
0336BB,20.647%
0336BR,7.142%
0336KO,3.719%
0337BB,11.925%
0337BR,0.663%
0337KO,8.416%
0338BB,7.225%
0338BR,4.318%
0338KO,0.145%
0339BB,3.747%
0339BR,50.170%
0339KO,4.040%
0340BB,13.340%
0340KO,10.255%
0341BB,3.755%
0341BR,19.649%
0341KO,19.368%
0342BB,25.800%
0342BR,1.114%
0342KO,4.968%
0343BB,5.853%
0343BR,12.991%
0343KO,10.670%
0344BB,5.084%
0344BR,7.926%
0344KO,11.625%
0345BB,39.200%
0345BR,8.089%
0345KO,8.477%
0346BB,18.311%
0346BR,0.608%
0346KO,9.010%
0347BB,1.591%
0347BR,6.906%
0347KO,6.552%
0348BB,0.453%
0348BR,3.152%
0348KO,5.402%
0349BB,12.689%
0349BR,4.423%
0349KO,4.120%
0350BB,2.972%
0350BR,8.241%
0350KO,12.791%
0351BB,1.185%
0351BR,6.703%
0351KO,12.490%
0352BB,1.112%
0352BR,3.886%
0352KO,4.192%
0353BB,7.645%
0353BR,8.784%
0353KO,1.783%
0354BR,9.570%
0354KO,26.507%
0355BB,5.130%
0355BR,6.972%
0355KO,3.982%
0356BB,22.924%
0356BR,2.013%
0356KO,43.082%
0357BB,14.972%
0357BR,49.625%
0357KO,7.908%
0358BB,0.282%
0358BR,1.383%
0358KO,8.001%
0359BB,21.736%
0359BR,1.809%
0359KO,5.786%
0360BB,20.031%
0360BR,4.103%
0360KO,8.198%
0361BB,7.514%
0361BR,2.226%
0361KO,7.957%
0362BB,10.297%
0362BR,4.035%
0362KO,1.643%
0363BB,36.152%
0363BR,0.851%
0363KO,7.497%
0364BB,1.966%
0364BR,18.142%
0364KO,7.122%
0365BB,17.254%
0365BR,34.055%
0365KO,18.617%
0366BB,4.462%
0366BR,56.731%
0366KO,21.702%
0367BB,0.102%
0367BR,9.488%
0367KO,3.378%
0368BB,13.159%
0368BR,0.216%
0368KO,2.681%
0369BB,36.873%
0369BR,2.936%
0369KO,4.465%
0370BB,15.650%
0370BR,30.662%
0370KO,3.370%
0371BB,14.734%
0371BR,14.398%
0371KO,7.907%
0372BB,7.356%
0372BR,11.402%
0372KO,12.091%
0373BB,3.780%
0373BR,6.332%
0373KO,6.138%
0374BB,2.135%
0374BR,33.185%
0374KO,21.485%
0375BB,9.918%
0375BR,7.958%
0375KO,11.937%
0376BB,12.454%
0376BR,26.022%
